Alpha-3,Cases Per Capita
AFG,500
ALB,11498
DZA,615
AND,59664
AGO,312
ATG,9150
ARG,21405
ARM,14733
AUS,39575
AUT,55292
AZE,8048
BHS,9425
BHR,39361
BGD,1221
BRB,35419
BLR,10520
BEL,38774
BLZ,17167
BEN,225
BTN,7920
BOL,9448
BIH,12117
BWA,13813
BRA,16218
BRN,50903
BGR,17982
BFA,100
BDI,413
CPV,11191
KHM,821
CMR,456
CAN,11176
CAF,307
TCD,45
CHL,23793
CHN,180
COL,12367
COM,968
COG,448
COD,103
CRI,21513
CIV,328
HRV,29718
CUB,9808
CYP,47815
CZE,37887
DNK,57398
DJI,1584
DMA,20622
DOM,5890
ECU,5643
EGY,502
SLV,3108
GNQ,1202
ERI,285
EST,45122
SWZ,6312
ETH,427
FJI,7599
FIN,22942
FRA,53444
GAB,2178
GMB,507
GEO,43524
DEU,38711
GHA,540
GRC,46139
GRD,17229
GTM,6176
GIN,285
GNB,445
GUY,9041
HTI,294
HND,4581
HUN,21321
ISL,60009
IND,3218
IDN,2331
IRN,8954
IRQ,6089
IRL,33534
ISR,53467
ITA,36429
JAM,5081
JPN,15807
JOR,17013
KAZ,7871
KEN,626
KIR,2859
KOR,46759
KWT,15363
KGZ,3146
LAO,2946
LVA,48124
LBN,17775
LSO,1598
LBR,155
LBY,7359
LIE,50554
LTU,45131
LUX,45986
MDG,239
MWI,457
MYS,14803
MDV,34109
MLI,157
MLT,25858
MHL,25802
MRT,1344
MUS,20304
MEX,5455
FSM,8650
MDA,14361
MCO,36742
MNG,29825
MNE,44112
MAR,3419
MOZ,733
MMR,1131
NAM,6640
NAM,6640
NPL,3416
NLD,49629
NZL,36535
NIC,224
NER,40
NGA,127
MKD,16387
NOR,26911
OMN,7761
PAK,708
PLW,29781
PAN,22694
PNG,500
PRY,10014
PER,12469
PHL,3551
POL,16403
PSE,13719
PRT,53387
QAT,15045
ROU,16849
RUS,13477
RWA,1018
KNA,12248
LCA,15722
VCT,8495
WSM,7821
SMR,60352
STP,2809
SAU,2332
SEN,524
SRB,26464
SYC,46900
SLE,96
SGP,31692
SVK,47265
SVN,54833
SLB,3299
SOM,169
ZAF,6753
SSD,158
ESP,28589
LKA,3128
SDN,143
SUR,13795
SWE,25454
CHE,46846
SYR,325
TJK,185
TZA,65
THA,6682
TLS,1754
TGO,464
TON,16148
TTO,12923
TUN,9669
TUR,19880
UGA,368
UKR,12276
ARE,10283
GBR,34984
UNK,15018
USA,28739
URY,28228
UZB,726
VUT,3868
VAT,3620
VEN,1911
VNM,11729
YEM,39
ZMB,1804
ZWE,1723
